Search:,Year,Semester
CS 166 (Section 02),49390,In Person,Information Security,,3.0,LEC,TR,04:30PM-05:45PM,Yan Chen,MH225,08/21/24-12/09/24,0,2024,Fall
CS 166 (Section 03),43566,In Person,Information Security,,3.0,LEC,TR,09:00AM-10:15AM,Mark Stamp,MH422,08/21/24-12/09/24,0,2024,Fall
CS 171 (Section 01),43391,In Person,Introduction to Machine Learning,,3.0,LEC,TR,12:00PM-01:15PM,Fabio Di Troia,MH422,08/21/24-12/09/24,0,2024,Fall
CS 171 (Section 02),44509,In Person,Introduction to Machine Learning,,3.0,LEC,MW,03:00PM-04:15PM,Akash Nanavati,MH225,08/21/24-12/09/24,2,2024,Fall
CS 171 (Section 03),50433,In Person,Introduction to Machine Learning,,3.0,LEC,TR,07:30PM-08:45PM,Saptarshi Sengupta,DH450,08/21/24-12/09/24,2,2024,Fall
CS 174 (Section 03),50756,In Person,Server-side Web Programming,,3.0,SEM,TR,12:00PM-01:15PM,Quang Duy Tran,SH313,08/21/24-12/09/24,6,2024,Fall
CS 175 (Section 01),42823,In Person,Mobile Device Development,,3.0,LEC,TR,03:00PM-04:15PM,Yan Chen,SH435,08/21/24-12/09/24,4,2024,Fall
CS 176 (Section 01),48804,In Person,Introduction to Social Network Analysis,,3.0,LEC,MW,12:00PM-01:15PM,Katerina Potika,MH225,08/21/24-12/09/24,2,2024,Fall
CS 185C (Section 02),49398,In Person,Advanced Practical Computing Topics,,3.0,SEM,TR,01:30PM-02:45PM,Ray Combs,ISB878,08/21/24-12/09/24,20,2024,Fall
CS 185C (Section 03),49952,Hybrid,Advanced Practical Computing Topics,,3.0,SEM,T,2024,Fall
CS 185C (Section 04),50841,Hybrid,Advanced Practical Computing Topics,,3.0,SEM,W,04:30PM-07:15PM,Fabio Di Troia,,08/21/24-12/09/24,8,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/cfeti",2024,Fall
CS 190 (Section 01),45502,In Person,Internship Project,,1.0,LEC,M,06:30PM-07:20PM,Teng Moh,ISB870,08/21/24-12/09/24,11,RD - Requires department approval.,2024,Fall
CS 190I (Section 01),43101,In Person,Internship Project,,3.0,LEC,M,06:30PM-09:15PM,Teng Moh,ISB870,08/21/24-12/09/24,35,2024,Fall
CS 200W (Section 01),45500,In Person,Graduate Technical Writing,GWAR,3.0,LEC,TR,09:00AM-10:15AM,Debra Hunter,ISB786,08/21/24-12/09/24,0,2024,Fall
CS 200W (Section 02),48776,In Person,Graduate Technical Writing,GWAR,3.0,LEC,TR,10:30AM-11:45AM,Debra Hunter,ISB786,08/21/24-12/09/24,0,2024,Fall
CS 200W (Section 03),45501,In Person,Graduate Technical Writing,GWAR,3.0,LEC,MW,12:00PM-01:15PM,Gregory Tomlinson,CL111,08/21/24-12/09/24,0,2024,Fall
CS 200W (Section 04),41785,In Person,Graduate Technical Writing,GWAR,3.0,LEC,MW,01:30PM-02:45PM,Gregory Tomlinson,CL111,08/21/24-12/09/24,0,2024,Fall
CS 200W (Section 05),48960,In Person,Graduate Technical Writing,GWAR,3.0,LEC,TR,06:00PM-07:15PM,Craig Jones,MH422,08/21/24-12/09/24,1,2024,Fall
CS 218 (Section 01),48805,In Person,Topics in Cloud Computing,,3.0,LEC,MW,06:00PM-07:15PM,Narayan Balasubramanian,MH422,08/21/24-12/09/24,0,2024,Fall
CS 218 (Section 02),50432,In Person,Topics in Cloud Computing,,3.0,LEC,MW,01:30PM-02:45PM,Kai Mast,MH223,08/21/24-12/09/24,2,2024,Fall
CS 223 (Section 01),43688,In Person,Advanced Bioinformatics,,3.0,SEM,TR,03:00PM-04:15PM,Leonard Wesley,ISB876,08/21/24-12/09/24,12,2024,Fall
CS 224 (Section 01),48806,In Person,Next Generation Sequencing and Genome Assembly,,3.0,LEC,TR,04:30PM-05:45PM,Leonard Wesley,ISB876,08/21/24-12/09/24,16,2024,Fall
CS 22A (Section 01),49320,In Person,Python for Everyone,GE: B4,3.0,LEC,MW,01:30PM-02:45PM,Tahereh Arabghalizi,SH100,08/21/24-12/09/24,11,2024,Fall
CS 22A (Section 02),46680,In Person,Python for Everyone,GE: B4,3.0,LEC,TR,01:30PM-02:45PM,Tahereh Arabghalizi,BBC204,08/21/24-12/09/24,10,2024,Fall
CS 22B (Section 02),50336,In Person,Python Programming for Data Analysis,,3.0,LEC,MW,06:00PM-07:15PM,Aarohi Chopra,CL324,08/21/24-12/09/24,38,2024,Fall
CS 247 (Section 01),45509,In Person,Advanced Computer Architecture,,3.0,SEM,MW,03:00PM-04:15PM,Robert Chun,MH422,08/21/24-12/09/24,1,2024,Fall
CS 249 (Section 01),48807,In Person,Distributed Computing,,3.0,SEM,TR,06:00PM-07:15PM,Ramin Moazeni,MH225,08/21/24-12/09/24,0,2024,Fall
CS 25 (Section 01),49740,In Person,The Digital World and Society,GE: D,3.0,LEC,TR,10:30AM-11:45AM,Gregory Courand,ENG340,08/21/24-12/09/24,14,2024,Fall
CS 252 (Section 01),49361,In Person,Advanced Programming Language Principles,,3.0,SEM,MW,01:30PM-02:45PM,Thomas Austin,MH222,08/21/24-12/09/24,0,2024,Fall
CS 255 (Section 01),47099,In Person,Design and Analysis of Algorithms,,3.0,SEM,TR,01:30PM-02:45PM,Chung-Wen Tsao,SH435,08/21/24-12/09/24,5,2024,Fall
CS 255 (Section 04),50475,In Person,Design and Analysis of Algorithms,,3.0,SEM,TR,10:30AM-11:45AM,Chung-Wen Tsao,SCI311,08/21/24-12/09/24,6,2024,Fall
CS 256 (Section 01),47217,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,10:30AM-11:45AM,Sayma Akther,MH222,08/21/24-12/09/24,3,2024,Fall
CS 256 (Section 02),48788,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,04:30PM-05:45PM,Maryam Khazaei Pool,MH222,08/21/24-12/09/24,7,2024,Fall
CS 256 (Section 03),50426,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,03:00PM-04:15PM,Maryam Khazaei Pool,DH416,08/21/24-12/09/24,5,2024,Fall
CS 257 (Section 01),47111,In Person,Database System Principles,,3.0,SEM,MW,04:30PM-05:45PM,Frank Butt,ISB878,08/21/24-12/09/24,14,2024,Fall
CS 259 (Section 01),44131,In Person,Advanced Parallel Processing,,3.0,LEC,MW,04:30PM-05:45PM,Robert Chun,MH422,08/21/24-12/09/24,0,2024,Fall
