Search:,Year,Semester
JS 140 (Section 03),50581,In Person,Record Clearance Project,,3.0,LEC,TR,01:30PM-02:45PM,Michael Hoosier,BBC107,08/21/24-12/09/24,2,2024,Fall
JS 141 (Section 01),44901,In Person,Record Clearance Project Representation,,3.0,SUP,TR,03:00PM-04:15PM,Margaret Stevenson,CL306,08/21/24-12/09/24,0,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
RS - Restricted to majors in this department. Contact department for more information.,2024,Fall
JS 142 (Section 02),50582,In Person,Record Clearance Project - Advanced Study and Community Involvement,,3.0,SUP,TR,03:00PM-04:15PM,Margaret Stevenson,CL306,08/21/24-12/09/24,6,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 143 (Section 01),41288,In Person,Criminal Evidence and Procedure,,3.0,LEC,TR,09:00AM-10:15AM,Harold Peterson,MH523,08/21/24-12/09/24,9,P1 - Prereq - 100W.,2024,Fall
JS 144 (Section 01),43367,In Person,Criminal Law,,3.0,LEC,TR,12:00PM-01:15PM,Harold Peterson,MH523,08/21/24-12/09/24,8,P1 - Prereq - 100W.,2024,Fall
JS 145 (Section 02),44026,In Person,White Collar Crime,,3.0,LEC,TR,01:30PM-02:45PM,Kevin Lynch,MH520,08/21/24-12/09/24,5,PB - Prereq - Upper division standing.,2024,Fall
JS 15 (Section 01),44907,In Person,Introductory Statistics in Justice Studies,GE: B4,3.0,LEC,TR,12:00PM-01:15PM,Dennis Estrada,DMH234,08/21/24-12/09/24,0,2024,Fall
JS 15 (Section 02),48401,In Person,Introductory Statistics in Justice Studies,GE: B4,3.0,LEC,F,10:00AM-12:45PM,Michael Vallerga,MH523,08/21/24-12/09/24,0,2024,Fall
JS 15 (Section 80),43145,Fully Online,Introductory Statistics in Justice Studies,GE: B4,3.0,LEC,TBA,TBA,Michael Vallerga,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
JS 150 (Section 80),44027,Fully Online,Gender and Crime,,3.0,LEC,TBA,TBA,Grace Howard,ONLINE,08/21/24-12/09/24,0,2024,Fall
JS 151 (Section 01),42477,In Person,Criminological Theory,,3.0,LEC,MW,12:00PM-01:15PM,Claudio Vera Sanchez,SH311,08/21/24-12/09/24,0,2024,Fall
JS 151 (Section 80),42133,Fully Online,Criminological Theory,,3.0,LEC,TBA,TBA,Natalie Birthelmer,ONLINE,08/21/24-12/09/24,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
JS 152 (Section 02),50177,In Person,Juvenile Delinquency a Justice,,3.0,LEC,MW,01:30PM-02:45PM,Susie Rivera,SH239,08/21/24-12/09/24,4,2024,Fall
JS 152 (Section 80),41289,Fully Online,Juvenile Delinquency a Justice,,3.0,LEC,TBA,TBA,Susie Rivera,ONLINE,08/21/24-12/09/24,1,2024,Fall
