Search:,Year,Semester
NUFS 144 (Section 88),48384,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Natsuko Tsuji,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 91),48387,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Lesley Wiley,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 92),48388,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Lesley Wiley,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 93),48389,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Lesley Wiley,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 94),48390,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Natsuko Tsuji,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 95),48391,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Laurie Steinberg,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 144 (Section 96),48392,Fully Online,Food Culture: Consuming Passions,GE: V,3.0,LEC,TBA,TBA,Roberta Ritter Spier,ONLINE,08/21/24-12/09/24,17,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 151 (Section 81),50359,Fully Online,Food Microbiology,,2.0,LEC,W,07:00PM-08:40PM,Minh Duong,ONLINE,08/21/24-12/09/24,12,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 80),48287,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TR,10:30AM-11:45AM,Sabine Mooney,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 81),48288,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,MW,12:00PM-01:15PM,Inbar Vanek,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 82),48289,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Yue Sun,ONLINE,08/21/24-12/09/24,3,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 83),48290,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Yue Sun,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 84),48291,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Elise Freche,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 85),48292,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Mary Hall,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 86),48293,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Irene Chou,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 87),48294,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Yue Sun,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 16 (Section 88),48295,Fully Online,"Science, Physiology, and Nutrition",GE: B2,3.0,LEC,TBA,TBA,Yue Sun,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
